Unit_CustID;Unit_Cat;Unit_Vendor;Unit_Model;Unit_Serial;Unit_type;Unit_installdate;Unit_Warend;Unit_Chargemode;Unit_Repldate;Unit_Notes;Unit_History;Unit_ID
2206;HS;HME;COM-6000R;28H02195;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;226852;
2206;HS;HME;COM-6000R;28H02201;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;226853;
2206;HS;QL;;01H01609;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;226510;
2206;;;;787605;;1900-01-01;1900-01-01;0;1900-01-01;;0;226680;
2206;;;;789212;;1900-01-01;1900-01-01;0;1900-01-01;;0;226681;
2206;HS;HME;COM-6000;28H02212;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;226917;
2206;HS;QL;;79304;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;226649;
2206;HS;QL;;79303;BP;1900-01-01;1900-01-01;0;1900-01-01;;0;226650;
2206;HS;QL;matrix;6106062;;1900-01-01;1900-01-01;0;1900-01-01;;0;224364;
2206;HS;QL;matrix;6205916;;1900-01-01;1900-01-01;0;1900-01-01;;0;224365;
2206;HS;QL;matrix;6205917;;1900-01-01;1900-01-01;0;1900-01-01;;0;224366;
2206;HS;QL;matrix;6205578;;1900-01-01;1900-01-01;0;1900-01-01;;0;224367;
2206;HS;QL;matrix;6110923;;1900-01-01;1900-01-01;0;1900-01-01;;0;224368;
2206;HS;QL;BELTPACK;55371229;;1900-01-01;1900-01-01;0;1900-01-01;;0;224653;
2206;HS;QL;BELTPACK;55371141;;1900-01-01;1900-01-01;0;1900-01-01;;0;224654;
2206;HS;QL;beltpack;AA6108667;;1900-01-01;1900-01-01;0;1900-01-01;;0;224466;
BR1;HS;HME;BASSTATION ION;38P02798;BS;2017-10-12;2018-01-12;11;1900-01-01;;0;248029;
BR1;HS;HME;HEADSET EOS 6300 AIO;22W06412;HS;2017-10-12;2019-10-11;5;1900-01-01;;0;248030;
BR1;HS;HME;CHARGER AC50;30V13045;HS;2017-10-12;2018-10-11;2;1900-01-01;;0;248031;
C1;HS;HME;BASSTATION EOS;12V10994;BS;2016-06-14;2018-06-13;5;1900-01-01;;0;246244;
C1;HS;HME;CHARGER AC50;10V077990;HS;2016-06-14;2018-06-13;2;1900-01-01;;0;246245;
C1;HS;HME;HEADSET EOS 6200 AIO;47U09858;HS;2016-06-14;2018-06-13;5;1900-01-01;;0;246246;
C1;HS;HME;HEADSET EOS 6200 AIO;27U04388;HS;2016-06-14;2018-06-13;5;1900-01-01;;0;246247;
C1;HS;HME;HEADSET EOS 6200 AIO;09V11252;HS;2016-06-14;2018-06-13;5;1900-01-01;;0;246248;
C1;HS;HME;BASSTATION EOS;36W07061;BS;2017-11-24;2019-11-23;5;1900-01-01;;0;248250;
C1;HS;HME;CHARGER AC50;30V13054;HS;2017-11-24;2018-11-23;2;1900-01-01;;0;248251;
C1;HS;HME;HEADSET EOS 6200 AIO;44V11128;HS;2017-11-24;2019-11-23;5;1900-01-01;;0;248252;
C1;HS;HME;HEADSET EOS 6200 AIO;20W07555;HS;2017-11-24;2019-11-23;5;1900-01-01;;0;248253;
C1;HS;HME;HEADSET EOS 6200 AIO;33U00694;HS;2017-11-24;2019-11-23;5;1900-01-01;;0;248254;
C1;HS;HME;HEADSET EOS 6200 AIO;16Y07720;HS;2019-07-13;2021-07-12;5;1900-01-01;;0;249962;
COOP;HS;QP;BASSTATION PRO7;Q40840863;BS;2018-09-20;2019-09-19;2;1900-01-01;;0;248959;
COOP;HS;QP;BASSTATION PRO7;Q40840867;BS;2018-09-20;2019-09-19;2;1900-01-01;;0;248960;
COOP;HS;QP;CHARGER PRO7;;HS;2018-09-20;2019-09-19;2;1900-01-01;;0;248961;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248962;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248963;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248964;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248965;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248966;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248967;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248968;
COOP;HS;QP;HEADSET PRO7;;HS;2018-09-20;2020-09-19;5;1900-01-01;;0;248969;
COOP 7;HS;QP;CHARGER PRO7;Q42760439;HS;2018-05-18;2019-05-17;2;1900-01-01;;0;248682;
COOP 7;HS;QP;HEADSET PRO7;Q41825049;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248683;
COOP 7;HS;QP;HEADSET PRO7;Q41825050;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248684;
COOP 7;HS;QP;HEADSET PRO7;Q41825051;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248685;
COOP 7;HS;QP;HEADSET PRO7;Q41825056;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248686;
COOP 7;HS;QP;HEADSET PRO7;Q41825063;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248687;
COOP 7;HS;QP;HEADSET PRO7;Q41825064;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248688;
COOP 7;HS;QP;HEADSET PRO7;Q41825065;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248689;
COOP 7;HS;QP;HEADSET PRO7;Q41825066;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248690;
COOP 7;HS;QP;HEADSET PRO7;Q41825069;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248691;
COOP 7;HS;QP;HEADSET PRO7;Q41825071;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248692;
COOP 7;HS;QP;HEADSET PRO7;Q41745712;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248693;
COOP 7;HS;QP;HEADSET PRO7;Q41745724;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248694;
COOP 7;HS;QP;HEADSET PRO7;Q41745729;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248695;
COOP 7;HS;QP;HEADSET PRO7;Q41745739;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248696;
COOP 7;HS;QP;HEADSET PRO7;Q41745696;HS;2018-05-18;2020-05-17;5;1900-01-01;;0;248697;
COOP1;COM;QD;HEADSET QD;0JYFOS590D6;HS;2010-07-28;2011-07-27;2;1900-01-01;;0;233908;
COOP1;COM;QD;HEADSET QD;0JYFOS790D6;HS;2010-07-28;2011-07-27;2;1900-01-01;;0;233909;
COOP1;COM;QD;HEADSET QD;0JYFOCF90D6;HS;2010-07-28;2011-07-27;2;1900-01-01;;0;233910;
COOP1;COM;QD;HEADSET QD;0JYFO9090D6;HS;2010-07-28;2011-07-27;2;1900-01-01;;0;233911;
COOP1;COM;QD;HEADSET QD;0JYFOF890D6;HS;2010-07-28;2011-07-27;2;1900-01-01;;0;233912;
COOP1;COM;QD;HEADSET QD;0JYFON590D6;HS;2010-07-28;2011-07-27;2;1900-01-01;;0;233913;
COOP1;COM;QD;BASE 9 USERS;Q01040056;BS;2010-07-28;2011-07-27;2;1900-01-01;;0;233914;
COOP1;COM;QD;KEYPAD REG;Q19030079;KP;2010-07-28;2011-07-27;2;1900-01-01;;0;233915;
COOP1;COM;QD;CHARGER QD;Q16910103;CH;2010-07-28;2011-07-27;2;1900-01-01;;0;233916;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-07-28;2011-07-27;2;1900-01-01;;0;233917;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-07-28;2011-07-27;2;1900-01-01;;0;233918;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-07-28;2011-07-27;2;1900-01-01;;0;233919;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-07-28;2011-07-27;2;1900-01-01;;0;233920;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-09-08;2011-09-07;2;1900-01-01;;0;233921;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-09-08;2011-09-07;2;1900-01-01;;0;233922;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-09-08;2011-09-07;2;1900-01-01;;0;233923;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-09-08;2011-09-07;2;1900-01-01;;0;233924;
COOP1;COM;QD;KEYPAD 12 BUTT;X;KP;2010-09-08;2011-09-07;2;1900-01-01;;0;233925;
COOP1;COM;QD;HEADSET QD;0JYGI2W51D6;HS;2012-01-24;2013-01-23;2;1900-01-01;;0;235729;
COOP10;HS;QP;HEADSET PRO7;Q01610103;HS;2017-09-22;2019-09-21;5;1900-01-01;;0;248041;
COOP10;HS;QP;HEADSET PRO7;Q01610138;HS;2017-09-22;2019-09-21;5;1900-01-01;;0;248042;
COOP10;HS;QP;HEADSET PRO7;Q01610139;HS;2017-09-22;2019-09-21;5;1900-01-01;;0;248043;
COOP10;HS;QP;BASSTATION PRO7;Q40554393;BS;2017-02-22;2018-02-21;2;1900-01-01;;0;248071;
COOP10;HS;QP;BASSTATION PRO7;Q40554412;BS;2017-02-22;2018-02-21;2;1900-01-01;;0;248072;
COOP10;HS;QP;BASSTATION PRO7;Q40554411;BS;2017-02-22;2018-02-21;2;1900-01-01;;0;248073;
COOP10;HS;QP;CHARGER PRO7;Q10647289;HS;2017-02-22;2018-02-21;2;1900-01-01;;0;248074;
